Município;UF;População (Censo 2022);TGCA (% a.a.);PIB total (R$ mil);PIB per capita (R$);Quadrante;Linha — ponderação limitada (%);Distância da linha limitada (p.p.);Prioridade — limitada;Linha — ponderação integral (%);Distância da linha integral (p.p.);Prioridade — integral
Içara;SC;59035;1,74;4878273,748;82633,59;Pequenas · crescendo;1,4175;0,3225;Prioritário;1,5289;0,2111;Prioritário
Jaraguá do Sul;SC;182660;2,05;15509262,572;84907,82;Grandes · crescendo;1,1503;0,8997;Prioritário;1,2016;0,8484;Prioritário
Joaçaba;SC;30146;0,92;2754514,296;91372,46;Pequenas · crescendo;1,5764;-0,6564;Não prioritário;1,7237;-0,8037;Não prioritário
Joinville;SC;616317;1,5;49815876,84;80828,33;Grandes · crescendo;0,8627;0,6373;Prioritário;0,8491;0,6509;Prioritário
Lages;SC;164981;0,43;8341649,834;50561,28;Grandes · crescendo;1,1744;-0,7444;Não prioritário;1,2311;-0,8011;Não prioritário
Laguna;SC;42785;0,1;1404149,986;32818,74;Pequenas · estagnadas;1,4936;-1,3936;Não prioritário;1,6222;-1,5222;Não prioritário
Mafra;SC;55286;0,37;3296811,911;59631,95;Pequenas · crescendo;1,433;-1,063;Não prioritário;1,5479;-1,1779;Não prioritário
Maravilha;SC;28251;2,06;2499222,596;88464,92;Pequenas · crescendo;1,5918;0,4682;Prioritário;1,7425;0,3175;Prioritário
Navegantes;SC;86401;3,01;7939673,784;91893,31;Grandes · crescendo;1,3274;1,6826;Prioritário;1,4185;1,5915;Prioritário
Palhoça;SC;222598;4,11;10294550,237;46247,27;Grandes · crescendo;1,1036;3,0064;Prioritário;1,1442;2,9658;Prioritário
Penha;SC;33663;2,46;1340663,262;39826,02;Pequenas · crescendo;1,5503;0,9097;Prioritário;1,6917;0,7683;Prioritário
Pomerode;SC;34289;1,77;3184672,108;92877,37;Pequenas · crescendo;1,546;0,224;Prioritário;1,6864;0,0836;Prioritário
Porto Belo;SC;27688;4,63;2090678,166;75508,46;Pequenas · crescendo;1,5965;3,0335;Prioritário;1,7483;2,8817;Prioritário
Porto União;SC;32970;-0,13;1314938,113;39882,87;Pequenas · estagnadas;1,5552;-1,6852;Não prioritário;1,6977;-1,8277;Não prioritário
Rio Negrinho;SC;39261;-0,12;1731868,057;44111,66;Pequenas · estagnadas;1,5139;-1,6339;Não prioritário;1,6471;-1,7671;Não prioritário
Rio do Sul;SC;72587;1,42;4621903,114;63673,98;Grandes · crescendo;1,3686;0,0514;Prioritário;1,469;-0,049;Não prioritário
Santo Amaro da Imperatriz;SC;27272;2,69;1749916,489;64165,32;Pequenas · crescendo;1,6001;1,0899;Prioritário;1,7527;0,9373;Prioritário
Sombrio;SC;29991;1;1304359,187;43491,69;Pequenas · crescendo;1,5776;-0,5776;Não prioritário;1,7252;-0,7252;Não prioritário
São Bento do Sul;SC;83277;0,9;5038223,34;60499,58;Grandes · crescendo;1,3361;-0,4361;Não prioritário;1,4292;-0,5292;Não prioritário
São Francisco do Sul;SC;52674;1,8;7396331,907;140417,13;Pequenas · crescendo;1,4444;0,3556;Prioritário;1,5619;0,2381;Prioritário
São José;SC;270299;2,13;15575672,162;57623,86;Grandes · crescendo;1,0576;1,0724;Prioritário;1,088;1,042;Prioritário
São João Batista;SC;32687;1,84;1303724,455;39885,11;Pequenas · crescendo;1,5573;0,2827;Prioritário;1,7002;0,1398;Prioritário
São Miguel do Oeste;SC;44330;1,68;3105097,849;70045,07;Pequenas · crescendo;1,4852;0,1948;Prioritário;1,6119;0,0681;Prioritário
Tijucas;SC;51592;4,35;3687049,288;71465,52;Pequenas · crescendo;1,4493;2,9007;Prioritário;1,568;2,782;Prioritário
Timbó;SC;46099;1,9;2737816,587;59389,93;Pequenas · crescendo;1,476;0,424;Prioritário;1,6006;0,2994;Prioritário
Tubarão;SC;110088;1,04;6007107,895;54566,42;Grandes · crescendo;1,2701;-0,2301;Não prioritário;1,3483;-0,3083;Não prioritário
Videira;SC;55466;1,35;4129522,675;74451,42;Pequenas · crescendo;1,4322;-0,0822;Não prioritário;1,547;-0,197;Não prioritário
Xanxerê;SC;51607;1,31;3145564,606;60952,29;Pequenas · crescendo;1,4493;-0,1393;Não prioritário;1,5679;-0,2579;Não prioritário
Xaxim;SC;31918;1,82;1737477,331;54435,66;Pequenas · crescendo;1,5629;0,2571;Prioritário;1,7071;0,1129;Prioritário
Adamantina;SP;34687;0,22;1705894,987;49179,66;Pequenas · estagnadas;1,5432;-1,3232;Não prioritário;1,683;-1,463;Não prioritário
Aguaí;SP;32072;-0,02;1773842,732;55308,14;Pequenas · estagnadas;1,5618;-1,5818;Não prioritário;1,7057;-1,7257;Não prioritário
Agudos;SP;37680;0,73;3415808,553;90653,09;Pequenas · crescendo;1,5237;-0,7937;Não prioritário;1,659;-0,929;Não prioritário
Americana;SP;237240;1;17600565,714;74188,86;Grandes · crescendo;1,0885;-0,0885;Não prioritário;1,1258;-0,1258;Não prioritário
Amparo;SP;68008;0,27;6698468,843;98495,31;Grandes · estagnadas;1,384;-1,114;Não prioritário;1,4879;-1,2179;Não prioritário
Américo Brasiliense;SP;33019;-0,36;1504961,923;45578,66;Pequenas · estagnadas;1,5549;-1,9149;Não prioritário;1,6973;-2,0573;Não prioritário
Andradina;SP;59783;0,65;4464940,278;74685,78;Pequenas · crescendo;1,4145;-0,7645;Não prioritário;1,5253;-0,8753;Não prioritário
