Município;UF;População (Censo 2022);TGCA (% a.a.);PIB total (R$ mil);PIB per capita (R$);Quadrante;Linha — ponderação limitada (%);Distância da linha limitada (p.p.);Prioridade — limitada;Linha — ponderação integral (%);Distância da linha integral (p.p.);Prioridade — integral
Alagoinhas;BA;151055;0,55;5705227,49;37769,21;Grandes · crescendo;1,1953;-0,6453;Não prioritário;1,2566;-0,7066;Não prioritário
Amargosa;BA;36521;0,46;608765,198;16668,91;Pequenas · crescendo;1,5311;-1,0711;Não prioritário;1,6681;-1,2081;Não prioritário
Araci;BA;48294;-0,4;642812,114;13310,39;Pequenas · estagnadas;1,465;-1,865;Não prioritário;1,5871;-1,9871;Não prioritário
Barra;BA;51092;0,3;558492,724;10931,12;Pequenas · estagnadas;1,4516;-1,1516;Não prioritário;1,5708;-1,2708;Não prioritário
Barra do Choça;BA;36539;0,4;540749,955;14799,25;Pequenas · crescendo;1,5309;-1,1309;Não prioritário;1,6679;-1,2679;Não prioritário
Barreiras;BA;159734;1,26;9499498,974;59470,74;Grandes · crescendo;1,182;0,078;Prioritário;1,2404;0,0196;Prioritário
Bom Jesus da Lapa;BA;65550;0,36;1554154,439;23709,45;Grandes · crescendo;1,3927;-1,0327;Não prioritário;1,4986;-1,1386;Não prioritário
Brumado;BA;70510;0,75;1931839,323;27398,09;Grandes · crescendo;1,3755;-0,6255;Não prioritário;1,4774;-0,7274;Não prioritário
Caetité;BA;52012;0,51;1216743,242;23393,51;Pequenas · crescendo;1,4474;-0,9374;Não prioritário;1,5656;-1,0556;Não prioritário
Camamu;BA;30469;-0,9;557661,535;18302,59;Pequenas · estagnadas;1,5739;-2,4739;Não prioritário;1,7206;-2,6206;Não prioritário
Camaçari;BA;300372;1,78;27418877,532;91283,07;Grandes · crescendo;1,0327;0,7473;Prioritário;1,0574;0,7226;Prioritário
Campo Alegre de Lourdes;BA;30671;0,76;383421,237;12501,1;Pequenas · crescendo;1,5723;-0,8123;Não prioritário;1,7187;-0,9587;Não prioritário
Campo Formoso;BA;71377;0,52;1617786,003;22665,37;Grandes · crescendo;1,3726;-0,8526;Não prioritário;1,4739;-0,9539;Não prioritário
Canavieiras;BA;32683;0,08;510979,086;15634,4;Pequenas · estagnadas;1,5573;-1,4773;Não prioritário;1,7003;-1,6203;Não prioritário
Candeias;BA;72382;-1;5750025,525;79439,99;Grandes · estagnadas;1,3693;-2,3693;Não prioritário;1,4698;-2,4698;Não prioritário
Cansanção;BA;37439;0,89;510493,321;13635,34;Pequenas · crescendo;1,5252;-0,6352;Não prioritário;1,6609;-0,7709;Não prioritário
Capim Grosso;BA;33235;1,41;801015,808;24101,57;Pequenas · crescendo;1,5534;-0,1434;Não prioritário;1,6954;-0,2854;Não prioritário
Casa Nova;BA;72086;0,87;1135275,591;15748,91;Grandes · crescendo;1,3702;-0,5002;Não prioritário;1,471;-0,601;Não prioritário
Catu;BA;48148;-0,48;928641,003;19287,22;Pequenas · estagnadas;1,4657;-1,9457;Não prioritário;1,588;-2,068;Não prioritário
Conceição do Coité;BA;67825;0,84;1122063,228;16543,51;Grandes · crescendo;1,3846;-0,5446;Não prioritário;1,4887;-0,6487;Não prioritário
Conceição do Jacuípe;BA;35308;1,34;2634469,119;74613,94;Pequenas · crescendo;1,539;-0,199;Não prioritário;1,6779;-0,3379;Não prioritário
Correntina;BA;32457;0,39;3806363,285;117274,03;Pequenas · crescendo;1,559;-1,169;Não prioritário;1,7023;-1,3123;Não prioritário
Cruz das Almas;BA;60348;0,25;1279175,071;21196,64;Grandes · estagnadas;1,4123;-1,1623;Não prioritário;1,5225;-1,2725;Não prioritário
Curaçá;BA;34180;0,5;499931,719;14626,44;Pequenas · crescendo;1,5467;-1,0467;Não prioritário;1,6873;-1,1873;Não prioritário
Cícero Dantas;BA;30907;-0,1;503222,235;16365,48;Pequenas · estagnadas;1,5705;-1,6705;Não prioritário;1,7165;-1,8165;Não prioritário
Dias d'Ávila;BA;71485;0,61;2377818,192;33263,18;Grandes · crescendo;1,3722;-0,7622;Não prioritário;1,4734;-0,8634;Não prioritário
Entre Rios;BA;38098;-0,36;790786,138;20756,63;Pequenas · estagnadas;1,5211;-1,8811;Não prioritário;1,6558;-2,0158;Não prioritário
Esplanada;BA;32554;-0,16;810979,757;24911,83;Pequenas · estagnadas;1,5583;-1,7183;Não prioritário;1,7014;-1,8614;Não prioritário
Euclides da Cunha;BA;61456;0,67;959547,942;15613,58;Grandes · crescendo;1,408;-0,738;Não prioritário;1,5173;-0,8473;Não prioritário
Eunápolis;BA;113710;0,97;4264492,925;37503,24;Grandes · crescendo;1,2624;-0,2924;Não prioritário;1,3389;-0,3689;Não prioritário
Feira de Santana;BA;616272;0,85;21846454,667;35449,37;Grandes · crescendo;0,8627;-0,0127;Não prioritário;0,8491;0,0009;Prioritário
Gandu;BA;32178;0,62;598642,986;18604,11;Pequenas · crescendo;1,561;-0,941;Não prioritário;1,7048;-1,0848;Não prioritário
Guanambi;BA;87817;0,94;2028013,245;23093,63;Grandes · crescendo;1,3235;-0,3835;Não prioritário;1,4138;-0,4738;Não prioritário
Ilhéus;BA;178649;-0,17;7234380,827;40494,94;Grandes · estagnadas;1,1556;-1,3256;Não prioritário;1,208;-1,378;Não prioritário
Inhambupe;BA;33790;-0,33;728056,798;21546,52;Pequenas · estagnadas;1,5494;-1,8794;Não prioritário;1,6906;-2,0206;Não prioritário
Ipiaú;BA;40706;-0,74;714937,605;17563,45;Pequenas · estagnadas;1,5054;-2,2454;Não prioritário;1,6366;-2,3766;Não prioritário
Ipirá;BA;56876;-0,44;799164,101;14050,99;Pequenas · estagnadas;1,4263;-1,8663;Não prioritário;1,5397;-1,9797;Não prioritário
Irecê;BA;74507;1;1963173,351;26348,84;Grandes · crescendo;1,3624;-0,3624;Não prioritário;1,4614;-0,4614;Não prioritário
Itaberaba;BA;65073;0,45;1267186,907;19473,31;Grandes · crescendo;1,3944;-0,9444;Não prioritário;1,5007;-1,0507;Não prioritário
Itabuna;BA;186708;-0,75;5152367,087;27595,86;Grandes · estagnadas;1,1451;-1,8951;Não prioritário;1,1952;-1,9452;Não prioritário
Itamaraju;BA;59605;-0,53;1395505,741;23412,56;Pequenas · estagnadas;1,4152;-1,9452;Não prioritário;1,5261;-2,0561;Não prioritário
Itapetinga;BA;65897;-0,3;1938472,475;29416,7;Grandes · estagnadas;1,3915;-1,6915;Não prioritário;1,497;-1,797;Não prioritário
Itapicuru;BA;31679;-0,06;534862,537;16883,82;Pequenas · estagnadas;1,5647;-1,6247;Não prioritário;1,7093;-1,7693;Não prioritário
Itiúba;BA;33872;-0,3;429677,861;12685,34;Pequenas · estagnadas;1,5489;-1,8489;Não prioritário;1,6899;-1,9899;Não prioritário
Jacobina;BA;82590;0,5;2030142,295;24580,97;Grandes · crescendo;1,3381;-0,8381;Não prioritário;1,4316;-0,9316;Não prioritário
Jaguaquara;BA;45964;-0,85;807068,769;17558,71;Pequenas · estagnadas;1,4767;-2,3267;Não prioritário;1,6014;-2,4514;Não prioritário
Jaguarari;BA;32703;0,4;805703,944;24637;Pequenas · crescendo;1,5572;-1,1572;Não prioritário;1,7001;-1,3001;Não prioritário
Jequié;BA;158813;0,4;3882706,96;24448,29;Grandes · crescendo;1,1834;-0,7834;Não prioritário;1,2421;-0,8421;Não prioritário
Jeremoabo;BA;37626;-0,04;623856,272;16580,46;Pequenas · estagnadas;1,524;-1,564;Não prioritário;1,6594;-1,6994;Não prioritário
Juazeiro;BA;237821;1,53;6159603,827;25900,17;Grandes · crescendo;1,0879;0,4421;Prioritário;1,1251;0,4049;Prioritário
Lauro de Freitas;BA;203331;1,84;8918479,61;43861,88;Grandes · crescendo;1,125;0,715;Prioritário;1,1705;0,6695;Prioritário
Livramento de Nossa Senhora;BA;43903;0,45;705491,381;16069,32;Pequenas · crescendo;1,4875;-1,0375;Não prioritário;1,6147;-1,1647;Não prioritário
Luís Eduardo Magalhães;BA;107909;5;11559024,195;107118,26;Grandes · crescendo;1,2748;3,7252;Prioritário;1,3541;3,6459;Prioritário
Macaúbas;BA;41859;-0,71;549585,766;13129,45;Pequenas · estagnadas;1,4988;-2,2088;Não prioritário;1,6286;-2,3386;Não prioritário
Maragogipe;BA;35859;-1,44;479211,8;13363,78;Pequenas · estagnadas;1,5354;-2,9754;Não prioritário;1,6734;-3,1134;Não prioritário
Mata de São João;BA;42566;0,44;1734856,86;40756,87;Pequenas · crescendo;1,4948;-1,0548;Não prioritário;1,6237;-1,1837;Não prioritário
Monte Santo;BA;47780;-0,34;590805,465;12365,12;Pequenas · estagnadas;1,4675;-1,8075;Não prioritário;1,5902;-1,9302;Não prioritário
Morro do Chapéu;BA;33594;-0,21;1565321,407;46595,27;Pequenas · estagnadas;1,5508;-1,7608;Não prioritário;1,6923;-1,9023;Não prioritário
Mucuri;BA;37977;0,44;3127407,236;82350,03;Pequenas · crescendo;1,5218;-1,0818;Não prioritário;1,6568;-1,2168;Não prioritário
Nova Viçosa;BA;39509;0,2;699743,948;17711;Pequenas · estagnadas;1,5125;-1,3125;Não prioritário;1,6453;-1,4453;Não prioritário
Paulo Afonso;BA;112870;0,34;4258890,934;37732,71;Grandes · estagnadas;1,2642;-0,9242;Não prioritário;1,3411;-1,0011;Não prioritário
Pilão Arcado;BA;35357;0,55;367179,251;10384,91;Pequenas · crescendo;1,5387;-0,9887;Não prioritário;1,6775;-1,1275;Não prioritário
Pojuca;BA;32136;-0,55;3036558,676;94490,87;Pequenas · estagnadas;1,5613;-2,1113;Não prioritário;1,7052;-2,2552;Não prioritário
Porto Seguro;BA;168326;2,4;5009893,696;29763,04;Grandes · crescendo;1,1697;1,2303;Prioritário;1,2252;1,1748;Prioritário
Poções;BA;48293;0,43;681871,458;14119,47;Pequenas · crescendo;1,465;-1,035;Não prioritário;1,5871;-1,1571;Não prioritário
Prado;BA;35003;2,06;776982,13;22197,59;Pequenas · crescendo;1,5411;0,5189;Prioritário;1,6804;0,3796;Prioritário
Remanso;BA;40586;0,42;573383,292;14127,61;Pequenas · crescendo;1,5061;-1,0861;Não prioritário;1,6375;-1,2175;Não prioritário
Riacho de Santana;BA;30711;-0,61;406699,912;13242,81;Pequenas · estagnadas;1,572;-2,182;Não prioritário;1,7183;-2,3283;Não prioritário
Riachão do Jacuípe;BA;33386;0,23;565913,377;16950,62;Pequenas · estagnadas;1,5523;-1,3223;Não prioritário;1,6941;-1,4641;Não prioritário
Ribeira do Pombal;BA;54010;0,43;918879,756;17154,16;Pequenas · crescendo;1,4385;-1,0085;Não prioritário;1,5547;-1,1247;Não prioritário
Rio Real;BA;35362;-0,5;1275891,66;36080,87;Pequenas · estagnadas;1,5387;-2,0387;Não prioritário;1,6774;-2,1774;Não prioritário
Salvador;BA;2417678;-0,84;76698777,218;31724,15;Grandes · estagnadas;0,5394;-1,3794;Não prioritário;0,453;-1,293;Não prioritário
Santa Maria da Vitória;BA;38604;-0,24;696761,133;18048,94;Pequenas · estagnadas;1,5179;-1,7579;Não prioritário;1,652;-1,892;Não prioritário
Santaluz;BA;37834;0,69;678132,686;17923,9;Pequenas · crescendo;1,5227;-0,8327;Não prioritário;1,6579;-0,9679;Não prioritário
Santo Amaro;BA;56012;-0,33;1375771,156;24562,08;Pequenas · estagnadas;1,4299;-1,7599;Não prioritário;1,5441;-1,8741;Não prioritário
Santo Antônio de Jesus;BA;103055;1,04;3028413,726;29386,38;Grandes · crescendo;1,2857;-0,2457;Não prioritário;1,3674;-0,3274;Não prioritário
Santo Estêvão;BA;52276;0,76;1295366,193;24779,37;Pequenas · crescendo;1,4462;-0,6862;Não prioritário;1,5641;-0,8041;Não prioritário
Seabra;BA;46160;0,83;861824,933;18670,38;Pequenas · crescendo;1,4757;-0,6457;Não prioritário;1,6002;-0,7702;Não prioritário
Senhor do Bonfim;BA;74523;0,12;1260521,545;16914,53;Grandes · estagnadas;1,3624;-1,2424;Não prioritário;1,4614;-1,3414;Não prioritário
Sento Sé;BA;38154;0,28;1566194,071;41049,28;Pequenas · estagnadas;1,5207;-1,2407;Não prioritário;1,6554;-1,3754;Não prioritário
Serra do Ramalho;BA;34222;0,72;521085,967;15226,64;Pequenas · crescendo;1,5464;-0,8264;Não prioritário;1,6869;-0,9669;Não prioritário
Serrinha;BA;80435;0,57;1420688,878;17662,57;Grandes · crescendo;1,3443;-0,7743;Não prioritário;1,4393;-0,8693;Não prioritário
Simões Filho;BA;114559;-0,25;8508321,271;74270,21;Grandes · estagnadas;1,2607;-1,5107;Não prioritário;1,3368;-1,5868;Não prioritário
São Desidério;BA;32828;1,34;8525861,621;259713,1;Pequenas · crescendo;1,5563;-0,2163;Não prioritário;1,699;-0,359;Não prioritário
São Francisco do Conde;BA;38733;0,92;26505736,857;684319,23;Pequenas · crescendo;1,5171;-0,5971;Não prioritário;1,651;-0,731;Não prioritário
São Gonçalo dos Campos;BA;39513;1,51;1673385,933;42350,26;Pequenas · crescendo;1,5124;-0,0024;Não prioritário;1,6453;-0,1353;Não prioritário
São Sebastião do Passé;BA;40958;-0,24;957089,48;23367,58;Pequenas · estagnadas;1,5039;-1,7439;Não prioritário;1,6349;-1,8749;Não prioritário
Teixeira de Freitas;BA;145216;0,4;3670771,175;25278,01;Grandes · crescendo;1,2046;-0,8046;Não prioritário;1,268;-0,868;Não prioritário
Tucano;BA;48736;0,03;823511,194;16897,39;Pequenas · estagnadas;1,4628;-1,4328;Não prioritário;1,5845;-1,5545;Não prioritário
Valença;BA;85655;-0,23;2194454,273;25619,69;Grandes · estagnadas;1,3294;-1,5594;Não prioritário;1,421;-1,651;Não prioritário
Vera Cruz;BA;42529;1,04;709330,481;16678,75;Pequenas · crescendo;1,495;-0,455;Não prioritário;1,6239;-0,5839;Não prioritário
Vitória da Conquista;BA;370879;1,61;12666570,589;34152,84;Grandes · crescendo;0,9828;0,6272;Prioritário;0,9963;0,6137;Prioritário
Xique-Xique;BA;44757;-0,08;780079,645;17429,22;Pequenas · estagnadas;1,483;-1,563;Não prioritário;1,6092;-1,6892;Não prioritário
Afonso Cláudio;ES;30684;-0,11;740219,596;24123,96;Pequenas · estagnadas;1,5722;-1,6822;Não prioritário;1,7186;-1,8286;Não prioritário
Anchieta;ES;29984;1,91;2317578,734;77293,85;Pequenas · crescendo;1,5777;0,3323;Prioritário;1,7252;0,1848;Prioritário
Aracruz;ES;94765;1,23;7724839,436;81515,74;Grandes · crescendo;1,3055;-0,0755;Não prioritário;1,3917;-0,1617;Não prioritário
Baixo Guandu;ES;30674;0,45;910611,357;29686,75;Pequenas · crescendo;1,5723;-1,1223;Não prioritário;1,7187;-1,2687;Não prioritário
Barra de São Francisco;ES;42498;0,37;1326676,964;31217,4;Pequenas · crescendo;1,4952;-1,1252;Não prioritário;1,6242;-1,2542;Não prioritário
Cachoeiro de Itapemirim;ES;185786;-0,17;7593554,334;40872,59;Grandes · estagnadas;1,1463;-1,3163;Não prioritário;1,1966;-1,3666;Não prioritário
Cariacica;ES;353491;0,11;19710842,61;55760,52;Grandes · estagnadas;0,9942;-0,8842;Não prioritário;1,0102;-0,9002;Não prioritário
Castelo;ES;36930;0,51;1395637,924;37791,44;Pequenas · crescendo;1,5284;-1,0184;Não prioritário;1,6649;-1,1549;Não prioritário
Colatina;ES;120033;0,61;5157944,636;42971,05;Grandes · crescendo;1,2496;-0,6396;Não prioritário;1,3232;-0,7132;Não prioritário
Domingos Martins;ES;35416;0,89;1294973,94;36564,66;Pequenas · crescendo;1,5383;-0,6483;Não prioritário;1,677;-0,787;Não prioritário
Guarapari;ES;124656;1,42;3391094,556;27203,62;Grandes · crescendo;1,2407;0,1793;Prioritário;1,3123;0,1077;Prioritário
Itapemirim;ES;39832;2,17;6134485,638;154008,98;Pequenas · crescendo;1,5105;0,6595;Prioritário;1,6429;0,5271;Prioritário
Linhares;ES;166786;1,4;10014356,32;60043,15;Grandes · crescendo;1,1718;0,2282;Prioritário;1,2279;0,1721;Prioritário
Marataízes;ES;41929;1,73;7102417,666;169391,53;Pequenas · crescendo;1,4984;0,2316;Prioritário;1,6281;0,1019;Prioritário
Nova Venécia;ES;49065;0,53;1886120,51;38441,26;Pequenas · crescendo;1,4612;-0,9312;Não prioritário;1,5825;-1,0525;Não prioritário
Santa Maria de Jetibá;ES;41636;1,65;2592684,786;62270,27;Pequenas · crescendo;1,5001;0,1499;Prioritário;1,6301;0,0199;Prioritário
Serra;ES;520653;1,86;37649154,625;72311,41;Grandes · crescendo;0,9026;0,9574;Prioritário;0,898;0,962;Prioritário
São Gabriel da Palha;ES;32252;0,1;988351,287;30644,65;Pequenas · estagnadas;1,5605;-1,4605;Não prioritário;1,7041;-1,6041;Não prioritário
São Mateus;ES;123752;1,05;4355437,433;35194,89;Grandes · crescendo;1,2424;-0,1924;Não prioritário;1,3144;-0,2644;Não prioritário
Viana;ES;73423;1,02;5957535,596;81139,91;Grandes · crescendo;1,3659;-0,3459;Não prioritário;1,4657;-0,4457;Não prioritário
Vila Velha;ES;467722;1,01;19711327,558;42143,26;Grandes · crescendo;0,9279;0,0821;Prioritário;0,9291;0,0809;Prioritário
Vitória;ES;322869;0,08;28257606,334;87520,35;Grandes · estagnadas;1,0156;-0,9356;Não prioritário;1,0365;-0,9565;Não prioritário
Anápolis;GO;398869;1,47;20432108,565;51225,11;Grandes · crescendo;0,9656;0,5044;Prioritário;0,9752;0,4948;Prioritário
Aparecida de Goiânia;GO;527796;1,23;20888936,559;39577,67;Grandes · crescendo;0,8994;0,3306;Prioritário;0,894;0,336;Prioritário
Bela Vista de Goiás;GO;34445;2,84;1983166,35;57574,87;Pequenas · crescendo;1,5449;1,2951;Prioritário;1,685;1,155;Prioritário
Caldas Novas;GO;98622;2,84;3782024,337;38348,69;Grandes · crescendo;1,2961;1,5439;Prioritário;1,3802;1,4598;Prioritário
Catalão;GO;114427;2,34;10345992,501;90415,66;Grandes · crescendo;1,2609;1,0791;Prioritário;1,3371;1,0029;Prioritário
Cidade Ocidental;GO;91767;4,21;1351012,615;14722,21;Grandes · crescendo;1,3131;2,8969;Prioritário;1,4011;2,8089;Prioritário
Cristalina;GO;62337;2,46;5707718,214;91562,29;Grandes · crescendo;1,4046;1,0554;Prioritário;1,5131;0,9469;Prioritário
Formosa;GO;115901;1,23;3918238,829;33806,77;Grandes · crescendo;1,2579;-0,0279;Não prioritário;1,3334;-0,1034;Não prioritário
Goianira;GO;71916;6,43;1604686,6;22313,35;Grandes · crescendo;1,3708;5,0592;Prioritário;1,4717;4,9583;Prioritário
Goianésia;GO;73707;1,79;2691742,145;36519,49;Grandes · crescendo;1,365;0,425;Prioritário;1,4646;0,3254;Prioritário
Goiatuba;GO;35664;0,78;2725199,918;76413,19;Pequenas · crescendo;1,5367;-0,7567;Não prioritário;1,675;-0,895;Não prioritário
Goiânia;GO;1437366;0,83;75780845,992;52722,02;Grandes · crescendo;0,6624;0,1676;Prioritário;0,6037;0,2263;Prioritário
Hidrolândia;GO;27742;3,96;1528148,591;55084,3;Pequenas · crescendo;1,5961;2,3639;Prioritário;1,7478;2,2122;Prioritário
Inhumas;GO;52204;0,66;1880643,106;36024,89;Pequenas · crescendo;1,4466;-0,7866;Não prioritário;1,5645;-0,9045;Não prioritário
Iporá;GO;35684;1,1;1227630,812;34402,84;Pequenas · crescendo;1,5365;-0,4365;Não prioritário;1,6748;-0,5748;Não prioritário
Itaberaí;GO;44734;1,98;2305609,003;51540,42;Pequenas · crescendo;1,4831;0,4969;Prioritário;1,6093;0,3707;Prioritário
Itumbiara;GO;107970;1,26;6555376,192;60714,79;Grandes · crescendo;1,2747;-0,0147;Não prioritário;1,3539;-0,0939;Não prioritário
Jaraguá;GO;45223;0,64;1205295,699;26652,27;Pequenas · crescendo;1,4805;-0,8405;Não prioritário;1,6061;-0,9661;Não prioritário
Jataí;GO;105729;1,54;10026116,752;94828,45;Grandes · crescendo;1,2796;0,2604;Prioritário;1,36;0,18;Prioritário
Luziânia;GO;209129;1,52;6264671,451;29956,01;Grandes · crescendo;1,1183;0,4017;Prioritário;1,1623;0,3577;Prioritário
Mineiros;GO;70081;2,37;4536324,835;64729,74;Grandes · crescendo;1,3769;0,9931;Prioritário;1,4792;0,8908;Prioritário
Morrinhos;GO;51351;1,8;2524023,048;49152,36;Pequenas · crescendo;1,4505;0,3495;Prioritário;1,5693;0,2307;Prioritário
Nerópolis;GO;31932;2,33;1548491,902;48493,42;Pequenas · crescendo;1,5628;0,7672;Prioritário;1,707;0,623;Prioritário
Niquelândia;GO;34964;-1,59;1516123,426;43362,41;Pequenas · estagnadas;1,5414;-3,1314;Não prioritário;1,6807;-3,2707;Não prioritário
Novo Gama;GO;103804;0,74;1349983,116;13005,12;Grandes · crescendo;1,284;-0,544;Não prioritário;1,3653;-0,6253;Não prioritário
Padre Bernardo;GO;34967;1,97;1036140,69;29631,96;Pequenas · crescendo;1,5413;0,4287;Prioritário;1,6807;0,2893;Prioritário
Palmeiras de Goiás;GO;31858;2,63;2083486,395;65399,16;Pequenas · crescendo;1,5634;1,0666;Prioritário;1,7077;0,9223;Prioritário
Pires do Rio;GO;32373;0,99;1928361,815;59566,98;Pequenas · crescendo;1,5596;-0,5696;Não prioritário;1,703;-0,713;Não prioritário
Planaltina;GO;105031;2,13;1939904,035;18469,82;Grandes · crescendo;1,2812;0,8488;Prioritário;1,3619;0,7681;Prioritário
Porangatu;GO;44317;0,38;2072827,411;46772,74;Pequenas · crescendo;1,4853;-1,1053;Não prioritário;1,612;-1,232;Não prioritário
Posse;GO;34914;0,88;938125,116;26869,6;Pequenas · crescendo;1,5417;-0,6617;Não prioritário;1,6811;-0,8011;Não prioritário
Quirinópolis;GO;48447;0,96;3123504,061;64472,6;Pequenas · crescendo;1,4642;-0,5042;Não prioritário;1,5862;-0,6262;Não prioritário
Rio Verde;GO;225696;2,07;22310032,201;98849,92;Grandes · crescendo;1,1003;0,9697;Prioritário;1,1402;0,9298;Prioritário
Santa Helena de Goiás;GO;38492;0,45;1995751,751;51848,48;Pequenas · crescendo;1,5186;-1,0686;Não prioritário;1,6529;-1,2029;Não prioritário
Santo Antônio do Descoberto;GO;72127;1,1;972898,933;13488,69;Grandes · crescendo;1,3701;-0,2701;Não prioritário;1,4709;-0,3709;Não prioritário
Senador Canedo;GO;155635;5,23;5495055,229;35307,32;Grandes · crescendo;1,1882;4,0418;Prioritário;1,248;3,982;Prioritário
São Luís de Montes Belos;GO;33852;1;2008425,161;59329,59;Pequenas · crescendo;1,549;-0,549;Não prioritário;1,6901;-0,6901;Não prioritário
Trindade;GO;142431;2,61;3631624,099;25497,43;Grandes · crescendo;1,2092;1,4008;Prioritário;1,2737;1,3363;Prioritário
Uruaçu;GO;42546;1,19;1637351,708;38484,27;Pequenas · crescendo;1,4949;-0,3049;Não prioritário;1,6238;-0,4338;Não prioritário
Valparaíso de Goiás;GO;198861;3,53;3621839,692;18212,92;Grandes · crescendo;1,1302;2,3998;Prioritário;1,1769;2,3531;Prioritário
Águas Lindas de Goiás;GO;225693;2,94;3062184,834;13567,92;Grandes · crescendo;1,1003;1,8397;Prioritário;1,1402;1,7998;Prioritário
Alfenas;MG;78970;0,57;3669898,617;46472,06;Grandes · crescendo;1,3487;-0,7787;Não prioritário;1,4446;-0,8746;Não prioritário
Almenara;MG;40364;0,34;813916,6;20164,42;Pequenas · estagnadas;1,5074;-1,1674;Não prioritário;1,6391;-1,2991;Não prioritário
Além Paraíba;MG;30717;-0,93;1045758,927;34044,96;Pequenas · estagnadas;1,572;-2,502;Não prioritário;1,7182;-2,6482;Não prioritário
Andradas;MG;40553;0,71;1483245,48;36575,48;Pequenas · crescendo;1,5063;-0,7963;Não prioritário;1,6377;-0,9277;Não prioritário
Araguari;MG;117808;0,59;6858533,812;58217,9;Grandes · crescendo;1,2541;-0,6641;Não prioritário;1,3287;-0,7387;Não prioritário
Araxá;MG;111691;1,48;8847239,614;79211,75;Grandes · crescendo;1,2667;0,2133;Prioritário;1,3441;0,1359;Prioritário
Araçuaí;MG;34297;-0,41;1081893,247;31544,84;Pequenas · estagnadas;1,5459;-1,9559;Não prioritário;1,6863;-2,0963;Não prioritário
Arcos;MG;41416;1,04;3058033,013;73837;Pequenas · crescendo;1,5013;-0,4613;Não prioritário;1,6316;-0,5916;Não prioritário
Barbacena;MG;125317;-0,06;4108617,172;32785,79;Grandes · estagnadas;1,2394;-1,2994;Não prioritário;1,3108;-1,3708;Não prioritário
Barão de Cocais;MG;30778;0,72;1547169,755;50268,69;Pequenas · crescendo;1,5715;-0,8515;Não prioritário;1,7177;-0,9977;Não prioritário
Belo Horizonte;MG;2315560;-0,21;130197670,721;56227,29;Grandes · estagnadas;0,5496;-0,7596;Não prioritário;0,4655;-0,6755;Não prioritário
Betim;MG;411846;0,69;52614325,377;127752,43;Grandes · crescendo;0,958;-0,268;Não prioritário;0,9659;-0,2759;Não prioritário
Boa Esperança;MG;39848;0,28;1413663,549;35476,4;Pequenas · estagnadas;1,5104;-1,2304;Não prioritário;1,6428;-1,3628;Não prioritário
Bocaiúva;MG;48032;0,28;1435951,111;29895,72;Pequenas · estagnadas;1,4663;-1,1863;Não prioritário;1,5887;-1,3087;Não prioritário
Bom Despacho;MG;51737;1,05;2193212,185;42391,56;Pequenas · crescendo;1,4487;-0,3987;Não prioritário;1,5671;-0,5171;Não prioritário
Brasília de Minas;MG;32025;0,21;510727,719;15947,78;Pequenas · estagnadas;1,5621;-1,3521;Não prioritário;1,7062;-1,4962;Não prioritário
Brumadinho;MG;38915;1,14;2845329,902;73116,53;Pequenas · crescendo;1,516;-0,376;Não prioritário;1,6497;-0,5097;Não prioritário
Caeté;MG;38776;-0,41;1004130,96;25895,68;Pequenas · estagnadas;1,5169;-1,9269;Não prioritário;1,6507;-2,0607;Não prioritário
Campo Belo;MG;52277;0,12;1458095,82;27891,73;Pequenas · estagnadas;1,4462;-1,3262;Não prioritário;1,5641;-1,4441;Não prioritário
Capelinha;MG;39626;1,17;1111827,021;28058,02;Pequenas · crescendo;1,5118;-0,3418;Não prioritário;1,6444;-0,4744;Não prioritário
Carangola;MG;31240;-0,28;780302,918;24977,69;Pequenas · estagnadas;1,568;-1,848;Não prioritário;1,7134;-1,9934;Não prioritário
Caratinga;MG;87360;0,21;2871549,04;32870,3;Grandes · estagnadas;1,3248;-1,1148;Não prioritário;1,4153;-1,2053;Não prioritário
Cataguases;MG;66261;-0,43;2139615,681;32290,72;Grandes · estagnadas;1,3902;-1,8202;Não prioritário;1,4954;-1,9254;Não prioritário
Cláudio;MG;30159;1,32;1426309,747;47293,01;Pequenas · crescendo;1,5763;-0,2563;Não prioritário;1,7236;-0,4036;Não prioritário
Congonhas;MG;52890;0,72;7693793,903;145467,84;Pequenas · crescendo;1,4435;-0,7235;Não prioritário;1,5608;-0,8408;Não prioritário
Conselheiro Lafaiete;MG;131621;1,02;3482647,959;26459,67;Grandes · crescendo;1,2278;-0,2078;Não prioritário;1,2965;-0,2765;Não prioritário
Contagem;MG;621863;0,26;45092392,887;72511,78;Grandes · estagnadas;0,8606;-0,6006;Não prioritário;0,8465;-0,5865;Não prioritário
Coronel Fabriciano;MG;104736;0,08;2387845,824;22798,71;Grandes · estagnadas;1,2819;-1,2019;Não prioritário;1,3627;-1,2827;Não prioritário
Curvelo;MG;80665;0,72;2706326,327;33550,19;Grandes · crescendo;1,3436;-0,6236;Não prioritário;1,4384;-0,7184;Não prioritário
Diamantina;MG;47702;0,33;1201220,973;25181,77;Pequenas · estagnadas;1,4679;-1,1379;Não prioritário;1,5907;-1,2607;Não prioritário
Divinópolis;MG;231091;0,68;9339332,264;40414,09;Grandes · crescendo;1,0947;-0,4147;Não prioritário;1,1334;-0,4534;Não prioritário
